Country Name,2020,2021,2022
Niger,24333639,25252722,25252722
Nigeria,208327405,213401323,213401323
Nicaragua,6755895,6850540,6850540
Netherlands,17441500,17533044,17533044
Norway,5379475,5408320,5408320
Nepal,29348627,30034989,30034989
Nauru,12315,12511,12511
New Zealand,5090200,5122600,5122600
OECD members,1370241530,1372736513,1372736513
Oman,4543399,4520471,4520471
Other small states,32381190,32708003,32708003
Pakistan,227196741,231402117,231402117
Panama,4294396,4351267,4351267
Peru,33304756,33715471,33715471
Philippines,112190977,113880328,113880328
Palau,17972,18024,18024
Papua New Guinea,9749640,9949437,9949437
Poland,37899070,37747124,37747124
Pre-demographic dividend,984213438,1011043183,1011043183
Puerto Rico,3281538,3263584,3263584
"Korea, Dem. People's Rep.",25867467,25971909,25971909
Portugal,10297081,10325147,10325147
Paraguay,6618695,6703799,6703799
West Bank and Gaza,4803269,4922749,4922749
Pacific island small states,2566819,2602173,2602173
Post-demographic dividend,1117443485,1116796245,1116796245
French Polynesia,301920,304032,304032
Qatar,2760385,2688235,2688235
Romania,19265250,19119880,19119880
Russian Federation,144073139,143449286,143449286
Rwanda,13146362,13461888,13461888
South Asia,1882531620,1901911604,1901911604
Saudi Arabia,35997107,35950396,35950396
Sudan,44440486,45657202,45657202
Senegal,16436120,16876720,16876720
Singapore,5685807,5453566,5453566
Solomon Islands,691191,707851,707851
Sierra Leone,8233970,8420641,8420641
El Salvador,6292731,6314167,6314167
San Marino,34007,33745,33745
Somalia,16537016,17065581,17065581
Serbia,6899126,6834326,6834326
Sub-Saharan Africa (excluding high income),1151203345,1181063481,1181063481
South Sudan,10606227,10748272,10748272
Sub-Saharan Africa,1151301807,1181162739,1181162739
Small states,42392777,42792053,42792053
Sao Tome and Principe,218641,223107,223107
Suriname,607065,612985,612985
Slovak Republic,5458827,5447247,5447247
Slovenia,2102419,2108079,2108079
Sweden,10353442,10415811,10415811
Eswatini,1180655,1192271,1192271
Sint Maarten (Dutch part),42310,42846,42846
Seychelles,98462,99258,99258
Syrian Arab Republic,20772595,21324367,21324367
Turks and Caicos Islands,44276,45114,45114
Chad,16644701,17179740,17179740
East Asia & Pacific (IDA & IBRD countries),2090523535,2097669023,2097669023
Europe & Central Asia (IDA & IBRD countries),462023771,462341222,462341222
Togo,8442580,8644829,8644829
Thailand,71475664,71601103,71601103
Tajikistan,9543207,9750064,9750064
Turkmenistan,6250438,6341855,6341855
Latin America & the Caribbean (IDA & IBRD countries),634680385,639188695,639188695
Timor-Leste,1299995,1320942,1320942
Middle East & North Africa (IDA & IBRD countries),407006855,413124452,413124452
Tonga,105254,106017,106017
South Asia (IDA & IBRD),1882531620,1901911604,1901911604
Sub-Saharan Africa (IDA & IBRD countries),1151301807,1181162739,1181162739
Trinidad and Tobago,1518147,1525663,1525663
Tunisia,12161723,12262946,12262946
Turkiye,84135428,84775404,84775404
Tuvalu,11069,11204,11204
Tanzania,61704518,63588334,63588334
Uganda,44404611,45853778,45853778
Ukraine,44132049,43792855,43792855
Upper middle income,2495285443,2503136362,2503136362
Uruguay,3429086,3426260,3426260
United States,331501080,331893745,331893745
Uzbekistan,34232050,34915100,34915100
St. Vincent and the Grenadines,104632,104332,104332
"Venezuela, RB",28490453,28199867,28199867
British Virgin Islands,30910,31122,31122
Virgin Islands (U.S.),106290,105870,105870
Vietnam,96648685,97468029,97468029
Vanuatu,311685,319137,319137
World,7820981524,7888408686,7888408686
Samoa,214929,218764,218764
Kosovo,1790133,1786038,1786038
"Yemen, Rep.",32284046,32981641,32981641
South Africa,58801927,59392255,59392255
Zambia,18927715,19473125,19473125
Zimbabwe,15669666,15993524,15993524
