,Date_reported,New_cases
285,2020-10-14,12779
286,2020-10-15,12533
287,2020-10-16,12027
288,2020-10-17,13738
289,2020-10-18,8124
290,2020-10-19,4339
291,2020-10-20,15824
292,2020-10-21,19600
293,2020-10-22,17628
294,2020-10-23,17715
295,2020-10-24,18863
296,2020-10-25,11552
297,2020-10-26,4880
298,2020-10-27,19845
299,2020-10-28,22191
300,2020-10-29,17982
301,2020-10-30,15074
302,2020-10-31,15388
303,2020-11-01,6309
304,2020-11-02,2662
305,2020-11-03,13843
306,2020-11-04,12082
307,2020-11-05,9213
308,2020-11-06,7644
309,2020-11-07,6638
310,2020-11-08,3044
311,2020-11-09,1449
312,2020-11-10,8613
313,2020-11-11,7662
314,2020-11-12,2002
315,2020-11-13,6467
316,2020-11-14,5697
317,2020-11-15,2360
318,2020-11-16,1053
319,2020-11-17,5830
320,2020-11-18,4824
321,2020-11-19,3681
322,2020-11-20,3007
323,2020-11-21,3075
324,2020-11-22,1258
325,2020-11-23,585
326,2020-11-24,3944
327,2020-11-25,2865
328,2020-11-26,2669
329,2020-11-27,2412
330,2020-11-28,2724
331,2020-11-29,1001
332,2020-11-30,556
333,2020-12-01,3286
334,2020-12-02,2682
335,2020-12-03,2598
336,2020-12-04,2361
337,2020-12-05,2549
338,2020-12-06,1094
339,2020-12-07,596
340,2020-12-08,3347
341,2020-12-09,2710
342,2020-12-10,2749
343,2020-12-11,2668
344,2020-12-12,2885
345,2020-12-13,1581
346,2020-12-14,735
347,2020-12-15,3805
348,2020-12-16,3200
349,2020-12-17,2753
350,2020-12-18,2733
351,2020-12-19,2729
352,2020-12-20,1429
353,2020-12-21,635
354,2020-12-22,3308
355,2020-12-23,2589
356,2020-12-24,2356
357,2020-12-25,1719
358,2020-12-26,492
359,2020-12-27,1098
360,2020-12-28,530
361,2020-12-29,2641
362,2020-12-30,2270
363,2020-12-31,1980
364,2021-01-01,1626
365,2021-01-02,469
366,2021-01-03,1051
367,2021-01-04,732
368,2021-01-05,2907
369,2021-01-06,2625
370,2021-01-07,2302
371,2021-01-08,1810
372,2021-01-09,1935
373,2021-01-10,1302
374,2021-01-11,808
375,2021-01-12,2849
376,2021-01-13,2271
377,2021-01-14,2044
378,2021-01-15,2023
379,2021-01-16,2070
380,2021-01-17,1141
381,2021-01-18,697
382,2021-01-19,2936
383,2021-01-20,2344
384,2021-01-21,2415
385,2021-01-22,2271
386,2021-01-23,2524
387,2021-01-24,1357
388,2021-01-25,796
389,2021-01-26,3286
390,2021-01-27,2700
391,2021-01-28,2512
392,2021-01-29,2547
393,2021-01-30,2941
394,2021-01-31,1550
395,2021-02-01,844
396,2021-02-02,3299
397,2021-02-03,2615
398,2021-02-04,2356
399,2021-02-05,2361
400,2021-02-06,2411
401,2021-02-07,1256
402,2021-02-08,594
403,2021-02-09,2541
404,2021-02-10,2108
405,2021-02-11,2112
406,2021-02-12,2051
407,2021-02-13,1999
408,2021-02-14,1123
409,2021-02-15,593
410,2021-02-16,2727
411,2021-02-17,2382
412,2021-02-18,2525
413,2021-02-19,2556
414,2021-02-20,2811
415,2021-02-21,1555
416,2021-02-22,805
417,2021-02-23,3338
418,2021-02-24,2918
419,2021-02-25,2751
420,2021-02-26,2644
421,2021-02-27,2800
422,2021-02-28,1487
423,2021-03-01,711
424,2021-03-02,3211
425,2021-03-03,2758
426,2021-03-04,2752
427,2021-03-05,2682
428,2021-03-06,2731
429,2021-03-07,1510
430,2021-03-08,786
431,2021-03-09,3685
432,2021-03-10,3383
433,2021-03-11,3387
434,2021-03-12,3497
435,2021-03-13,3752
436,2021-03-14,2174
437,2021-03-15,1383
438,2021-03-16,5258
439,2021-03-17,4599
440,2021-03-18,4835
441,2021-03-19,5036
442,2021-03-20,5182
443,2021-03-21,2845
444,2021-03-22,1576
445,2021-03-23,6285
446,2021-03-24,6037
447,2021-03-25,5566
448,2021-03-26,5623
449,2021-03-27,5740
450,2021-03-28,3056
451,2021-03-29,1691
452,2021-03-30,6154
453,2021-03-31,5197
454,2021-04-01,4727
455,2021-04-02,4690
456,2021-04-03,4894
457,2021-04-04,2701
458,2021-04-05,1513
459,2021-04-06,1562
460,2021-04-07,5260
461,2021-04-08,4741
462,2021-04-09,4466
463,2021-04-10,4497
464,2021-04-11,2362
465,2021-04-12,1305
466,2021-04-13,4729
467,2021-04-14,4281
468,2021-04-15,3900
469,2021-04-16,3807
470,2021-04-17,4021
471,2021-04-18,2322
472,2021-04-19,1312
473,2021-04-20,5433
474,2021-04-21,4457
475,2021-04-22,4068
476,2021-04-23,3801
477,2021-04-24,3636
478,2021-04-25,1889
479,2021-04-26,1138
480,2021-04-27,4270
481,2021-04-28,3760
482,2021-04-29,3448
483,2021-04-30,3347
484,2021-05-01,3487
485,2021-05-02,1335
486,2021-05-03,1137
487,2021-05-04,4331
488,2021-05-05,3651
489,2021-05-06,3615
490,2021-05-07,3515
491,2021-05-08,3294
492,2021-05-09,1714
493,2021-05-10,855
494,2021-05-11,3362
495,2021-05-12,2990
496,2021-05-13,2808
497,2021-05-14,943
498,2021-05-15,2557
499,2021-05-16,1254
500,2021-05-17,735
501,2021-05-18,3576
502,2021-05-19,3264
503,2021-05-20,3118
504,2021-05-21,2409
505,2021-05-22,2425
506,2021-05-23,1434
507,2021-05-24,773
508,2021-05-25,899
509,2021-05-26,2789
510,2021-05-27,2534
511,2021-05-28,2215
512,2021-05-29,2023
513,2021-05-30,1116
514,2021-05-31,603
515,2021-06-01,2026
516,2021-06-02,1682
517,2021-06-03,1498
518,2021-06-04,1466
519,2021-06-05,1348
520,2021-06-06,647
521,2021-06-07,399
522,2021-06-08,1237
523,2021-06-09,1041
524,2021-06-10,841
525,2021-06-11,764
526,2021-06-12,779
527,2021-06-13,390
528,2021-06-14,209
529,2021-06-15,765
530,2021-06-16,535
531,2021-06-17,419
532,2021-06-18,450
533,2021-06-19,424
534,2021-06-20,274
535,2021-06-21,139
536,2021-06-22,482
537,2021-06-23,365
538,2021-06-24,396
539,2021-06-25,339
540,2021-06-26,398
541,2021-06-27,259
542,2021-06-28,177
543,2021-06-29,598
544,2021-06-30,557
545,2021-07-01,628
546,2021-07-02,676
547,2021-07-03,724
548,2021-07-04,521
549,2021-07-05,366
550,2021-07-06,998
551,2021-07-07,1042
552,2021-07-08,1173
553,2021-07-09,1227
554,2021-07-10,1289
555,2021-07-11,1004
556,2021-07-12,781
557,2021-07-13,1764
558,2021-07-14,1429
559,2021-07-15,1446
560,2021-07-16,1390
561,2021-07-17,1570
562,2021-07-18,1104
563,2021-07-19,838
564,2021-07-20,2134
565,2021-07-21,1954
566,2021-07-22,790
567,2021-07-23,1914
568,2021-07-24,1656
569,2021-07-25,1158
570,2021-07-26,784
571,2021-07-27,2112
572,2021-07-28,1600
573,2021-07-29,1752
574,2021-07-30,1782
575,2021-07-31,1797
576,2021-08-01,1186
577,2021-08-02,1056
578,2021-08-03,2251
579,2021-08-04,1950
580,2021-08-05,1875
581,2021-08-06,1836
582,2021-08-07,2133
583,2021-08-08,1275
584,2021-08-09,923
585,2021-08-10,2597
586,2021-08-11,2218
587,2021-08-12,1992
588,2021-08-13,2158
589,2021-08-14,2273
590,2021-08-15,1352
591,2021-08-16,766
592,2021-08-17,2829
593,2021-08-18,2247
594,2021-08-19,2266
595,2021-08-20,2007
596,2021-08-21,2245
597,2021-08-22,1285
598,2021-08-23,956
599,2021-08-24,2654
600,2021-08-25,2460
601,2021-08-26,2395
602,2021-08-27,2187
603,2021-08-28,2217
604,2021-08-29,1372
605,2021-08-30,833
606,2021-08-31,2945
607,2021-09-01,2358
608,2021-09-02,2222
609,2021-09-03,2113
610,2021-09-04,2155
611,2021-09-05,1240
612,2021-09-06,733
613,2021-09-07,2800
614,2021-09-08,2361
615,2021-09-09,2190
616,2021-09-10,2105
617,2021-09-11,2324
618,2021-09-12,1306
619,2021-09-13,680
620,2021-09-14,2930
621,2021-09-15,2498
622,2021-09-16,2322
623,2021-09-17,2426
624,2021-09-18,2390
625,2021-09-19,1260
626,2021-09-20,652
627,2021-09-21,2940
628,2021-09-22,2269
