,Date_reported,New_cases,NormalizedCases,SmoothedCases
476,2021-04-23,16046,0.07033924680983504,12920.474515364507
477,2021-04-24,14758,0.06469316991272252,12665.602423261254
478,2021-04-25,13814,0.06055505144154689,12409.986465572483
479,2021-04-26,13157,0.05767502619201045,12153.440570320832
480,2021-04-27,8440,0.03699758463635846,11895.801671872407
481,2021-04-28,10398,0.04558067358398758,11636.937077162956
482,2021-04-29,13382,0.058661336208974985,11376.750726788096
483,2021-04-30,14314,0.06274685147924584,11115.18826773162
484,2021-05-01,13445,0.05893750301372505,10852.240886199319
485,2021-05-02,12964,0.05682899137745865,10587.947880055817
486,2021-05-03,9145,0.04008802268951399,10322.3979799932
487,2021-05-04,5946,0.02606488604831604,10055.729456162848
488,2021-05-05,9113,0.039947747487101254,9788.129072056994
489,2021-05-06,10579,0.04637410519763461,9519.829969527338
490,2021-05-07,11798,0.05171771368954468,9251.108587676683
491,2021-05-08,10549,0.04624259719537267,8982.280733760888
492,2021-05-09,10174,0.044598747167098454,8713.696936091965
493,2021-05-10,8289,0.03633566102497337,8445.737217224585
494,2021-05-11,5077,0.022255537582795245,8178.805430499063
495,2021-05-12,6943,0.03043533532348777,7913.323304433208
496,2021-05-13,7848,0.03440249339172289,7649.7243376903625
497,2021-05-14,8082,0.035428255809366,7388.447682639074
498,2021-05-15,7562,0.03314878377015908,7129.932148141232
499,2021-05-16,6652,0.029159707701546973,6874.610442475252
500,2021-05-17,5748,0.02519693323338725,6622.903765562611
501,2021-05-18,3454,0.01514095466042442,6375.216846284231
502,2021-05-19,4449,0.01950263673544535,6131.93350602604
503,2021-05-20,5500,0.024109800414688565,5893.412814065188
504,2021-05-21,5736,0.025144330032482478,5659.98588438259
505,2021-05-22,5215,0.02286047439320016,5431.953347337285
506,2021-05-23,4714,0.0206642907554258,5209.583513719117
507,2021-05-24,3993,0.0175037151010639,4993.111233339433
508,2021-05-25,2489,0.010910780587665427,4782.737435823341
509,2021-05-26,3220,0.014115192242781306,4578.629327891821
510,2021-05-27,3935,0.01724946629669082,4380.921209385058
511,2021-05-28,4143,0.018161255112373587,4189.715859749998
512,2021-05-29,3737,0.016381513481762033,4005.086437817923
513,2021-05-30,3348,0.01467629305243224,3827.078830504742
514,2021-05-31,2948,0.012922853022273072,3655.7143806045287
515,2021-06-01,1818,0.00796938493707342,3490.9929200970732
516,2021-06-02,2483,0.010884478987213038,3332.8960332954243
517,2021-06-03,2896,0.01269490581835238,3181.390473626112
518,2021-06-04,1963,0.00860500694800612,3036.4316587420603
519,2021-06-05,2556,0.011204481792717087,2897.967170871829
520,2021-06-06,2434,0.01066968258351854,2765.9401926494666
521,2021-06-07,2275,0.00997269017153027,2640.292812978134
522,2021-06-08,1270,0.00556717209575536,2520.969142585972
523,2021-06-09,1894,0.008302538542803663,2407.918184665444
524,2021-06-10,2198,0.009635152965724631,2301.0964121860156
525,2021-06-11,2078,0.00910912095667688,2200.4700099854626
526,2021-06-12,1892,0.008293771342652866,2106.016746443647
527,2021-06-13,1722,0.007548559329835221,2017.7274463092526
528,2021-06-14,1390,0.00609320410480311,1935.6070429904337
529,2021-06-15,907,0.003975925268385915,1859.6751952617747
530,2021-06-16,1253,0.005492650894473595,1789.9664598315956
531,2021-06-17,1400,0.00613704010555709,1726.530017525762
532,2021-06-18,1323,0.00579950289975145,1669.4289569661973
533,2021-06-19,1147,0.005027989286481416,1618.7391255602013
534,2021-06-20,1193,0.00522963488994972,1574.547563388348
535,2021-06-21,881,0.0038619516664255686,1536.9505412098893
536,2021-06-22,484,0.002121662436492594,1506.0512293219526
537,2021-06-23,834,0.0036559224628818663,1481.9570294343964
538,2021-06-24,1140,0.004997304085953631,1464.7766070664318
539,2021-06-25,266,0.0011660376200558471,1454.6166672258628
540,2021-06-26,751,0.003292083656623839,1451.578521265274
541,2021-06-27,838,0.003673456863183458,1455.754497760615
